No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Party Code,Political Party Name,Abbrv,Notes
,James Kinuthia,James Kinuthia,47,Nairobi,290,Mathare,1450,Kiamaiko,IND,Independent,IND,No number in gazette
,James Mwangi,James Mwangi,47,Nairobi,290,Mathare,1450,Kiamaiko,36,Chama Cha Uzalendo,CCU,No number in gazette
,Joseph Karanja,Joseph Karanja,47,Nairobi,290,Mathare,1450,Kiamaiko,IND,Independent,IND,No number in gazette
,David Kuiyara,David Kuiyara,47,Nairobi,290,Mathare,1450,Kiamaiko,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",No number in gazette
,Samuel Kung'u,Samuel Kung'u,47,Nairobi,290,Mathare,1450,Kiamaiko,19,Kenya Social Congress,KSC,No number in gazette
,Hassan Mohamed,Hassan Mohamed,47,Nairobi,290,Mathare,1450,Kiamaiko,IND,Independent,IND,No number in gazette
,Ibrahim Mohamed,Ibrahim Mohamed,8,Wajir,36,Wajir West,178,Adamasajide,19,Kenya Social Congress,KSC,No number in gazette
,Waminja,James Kinuthia,47,Nairobi,290,Mathare,1450,Kiamaiko,IND,Independent,IND,No number in gazette
1,Peter Njoroge,Peter Njoroge,1,Mombasa,1,Changamwe,1,Port Reitz,36,Chama Cha Uzalendo,CCU,
2,Oucho Abura,Oucho Abura,1,Mombasa,1,Changamwe,1,Port Reitz,IND,Independent,IND,
3,Ahmed Kibwana,Ahmed Kibwana,1,Mombasa,1,Changamwe,1,Port Reitz,31,Kenya Patriots Party,KPP,
4,Richard Kimanzi,Richard Kimanzi,1,Mombasa,1,Changamwe,1,Port Reitz,67,Maendeleo Chap Chap Party,MCCP,
5,Vitalice Abongo,Vitalice Abongo,1,Mombasa,1,Changamwe,1,Port Reitz,75,Empowerment and Liberation Party,ELP,
6,Fadhili Mwalimu,Fadhili Mwalimu,1,Mombasa,1,Changamwe,1,Port Reitz,29,National Rainbow Coalition,NARC,
7,Erick Kavai,Erick Kavai,1,Mombasa,1,Changamwe,1,Port Reitz,15,Party for Development and Reform,PDR,
8,Patrick Otieno,Patrick Otieno,1,Mombasa,1,Changamwe,1,Port Reitz,73,Alternative Leadership Party of Kenya,ALPK,
9,Harun Hassan,Harun Hassan,1,Mombasa,1,Changamwe,2,Kipevu,36,Chama Cha Uzalendo,CCU,
10,Faith Mwende,Faith Mwende,1,Mombasa,1,Changamwe,2,Kipevu,15,Party for Development and Reform,PDR,
11,Ibrahim Abdalla,Ibrahim Abdalla,1,Mombasa,1,Changamwe,2,Kipevu,29,National Rainbow Coalition,NARC,
12,Khamisi Juma,Khamisi Juma,1,Mombasa,1,Changamwe,2,Kipevu,IND,Independent,IND,
13,Benjamin Mulandi,Benjamin Mulandi,1,Mombasa,1,Changamwe,2,Kipevu,IND,Independent,IND,
14,Kevin Keegan,Kevin Keegan,1,Mombasa,1,Changamwe,3,Airport,71,National Liberal Party,NLP,
15,Al-hajj Omar Badi,Al-hajj Omar Badi,1,Mombasa,1,Changamwe,3,Airport,15,Party for Development and Reform,PDR,
16,Philip Wambua,Philip Wambua,1,Mombasa,1,Changamwe,3,Airport,67,Maendeleo Chap Chap Party,MCCP,
