County,Constituency,Ward,Center,Station,Station code,Voters
Mombasa,Changamwe,Port Reitz,Bomu Primary School,1,1001000100101,687
Mombasa,Changamwe,Port Reitz,Bomu Primary School,2,1001000100102,688
Mombasa,Changamwe,Port Reitz,Bomu Primary School,3,1001000100103,688
Mombasa,Changamwe,Port Reitz,Bomu Primary School,4,1001000100104,688
Mombasa,Changamwe,Port Reitz,Bomu Primary School,5,1001000100105,688
Mombasa,Changamwe,Port Reitz,Bomu Primary School,6,1001000100106,688
Mombasa,Changamwe,Port Reitz,Bomu Primary School,7,1001000100107,688
Mombasa,Changamwe,Port Reitz,Bomu Primary School,8,1001000100108,688
Mombasa,Changamwe,Port Reitz,Bomu Primary School,9,1001000100109,687
Mombasa,Changamwe,Port Reitz,Bomu Primary School,10,1001000100110,687
Mombasa,Changamwe,Port Reitz,Bomu Primary School,11,1001000100111,687
Mombasa,Changamwe,Port Reitz,Bomu Primary School,12,1001000100112,687
Mombasa,Changamwe,Port Reitz,Bomu Primary School,13,1001000100113,687
Mombasa,Changamwe,Port Reitz,Bomu Primary School,14,1001000100114,687
Mombasa,Changamwe,Port Reitz,Mwijabu Primary School,1,1001000100201,638
Mombasa,Changamwe,Port Reitz,Mwijabu Primary School,2,1001000100202,639
Mombasa,Changamwe,Port Reitz,Mwijabu Primary School,3,1001000100203,639
Mombasa,Changamwe,Port Reitz,Mwijabu Primary School,4,1001000100204,638
Mombasa,Changamwe,Port Reitz,Mwijabu Primary School,5,1001000100205,638
Mombasa,Changamwe,Port Reitz,Mwijabu Primary School,6,1001000100206,638
Mombasa,Changamwe,Port Reitz,Mwijabu Primary School,7,1001000100207,638
Mombasa,Changamwe,Port Reitz,Lilongwe Garden,1,1001000100301,597
Mombasa,Changamwe,Port Reitz,Lilongwe Garden,2,1001000100302,598
Mombasa,Changamwe,Port Reitz,Lilongwe Garden,3,1001000100303,598
Mombasa,Changamwe,Port Reitz,Lilongwe Garden,4,1001000100304,598
Mombasa,Changamwe,Port Reitz,Lilongwe Garden,5,1001000100305,598
Mombasa,Changamwe,Kipevu,Umoja Primary School,1,1001000200401,596
Mombasa,Changamwe,Kipevu,Umoja Primary School,2,1001000200402,597
Mombasa,Changamwe,Kipevu,Umoja Primary School,3,1001000200403,596
Mombasa,Changamwe,Kipevu,Umoja Primary School,4,1001000200404,596
Mombasa,Changamwe,Kipevu,Umoja Primary School,5,1001000200405,596
Mombasa,Changamwe,Kipevu,Kisumu Ndogo Ground,1,1001000200501,623
Mombasa,Changamwe,Kipevu,Kisumu Ndogo Ground,2,1001000200502,624
Mombasa,Changamwe,Kipevu,Kisumu Ndogo Ground,3,1001000200503,624
Mombasa,Changamwe,Kipevu,Kisumu Ndogo Ground,4,1001000200504,624
Mombasa,Changamwe,Kipevu,Kisumu Ndogo Ground,5,1001000200505,624
Mombasa,Changamwe,Kipevu,Kwa Hola Primary School,1,1001000200601,538
Mombasa,Changamwe,Kipevu,Kwa Hola Primary School,2,1001000200602,539
Mombasa,Changamwe,Kipevu,Kwa Hola Primary School,3,1001000200603,539
Mombasa,Changamwe,Kipevu,Kwa Hola Primary School,4,1001000200604,539
Mombasa,Changamwe,Kipevu,Cape Town Ground,1,1001000200701,698
Mombasa,Changamwe,Kipevu,Cape Town Ground,2,1001000200702,699
Mombasa,Changamwe,Kipevu,Cape Town Ground,3,1001000200703,698
Mombasa,Changamwe,Kipevu,Cape Town Ground,4,1001000200704,698
Mombasa,Changamwe,Kipevu,Cape Town Ground,5,1001000200705,698
Mombasa,Changamwe,Kipevu,Cape Town Ground,6,1001000200706,698
Mombasa,Changamwe,Kipevu,Kaloleni Ground,1,1001000200801,582
Mombasa,Changamwe,Kipevu,Kaloleni Ground,2,1001000200802,582
